fips,tot_po_yr,tot_po8,n_years_available,avg_customers_out,avg_customer_time_std
27105,42,1,2,21924,2
27109,27,1,2,75504,1
27111,57,4,1,68900,2
27115,60,1,3,32362,2
27117,5,0,3,932,0
27123,68,3,3,516952,2
27129,24,1,3,8390,1
27131,56,2,2,157307,5
27133,3,0,3,291,0
27139,40,0,3,79417,1
27145,35,1,3,75241,1
27137,58,3,2,247028,2
27151,0,0,3,429,0
27153,33,0,2,13578,1
27157,54,2,3,29984,3
27161,28,3,1,66992,7
27163,71,5,3,314526,3
27169,48,1,2,34896,1
28001,324,16,3,329175,21
28005,297,15,3,153890,21
28007,144,12,1,121913,13
28011,124,9,3,219707,13
28019,89,3,3,29460,7
28021,414,22,3,204845,51
28023,124,4,3,50157,6
28029,289,13,3,227328,17
28031,144,8,3,136643,14
28033,67,4,3,216791,2
28035,80,2,3,104981,3
28037,330,15,3,123718,30
28039,124,4,3,460950,42
28041,139,8,3,236205,45
28043,112,9,3,198685,17
28045,73,2,3,364414,12
28047,74,2,3,1629471,15
28049,176,23,3,1014328,8
28051,81,5,3,42183,5
28059,109,3,3,997902,13
28061,134,5,3,86842,10
28065,137,7,3,90973,14
28067,97,6,3,186970,5
28069,93,3,1,15787,3
28071,90,3,3,132202,5
28073,73,2,3,93583,3
28075,88,4,3,138158,3
28077,143,5,3,64370,10
28079,102,4,1,47786,4
28085,236,9,3,143554,8
28089,109,10,3,332135,6
28091,97,3,3,66843,5
28097,72,4,3,38403,6
28099,90,4,1,44184,3
28101,130,5,1,60467,6
28103,55,2,2,40897,7
28107,130,6,3,188017,11
28109,116,3,3,155907,5
28111,112,4,3,61340,10
28113,157,9,3,280369,14
28119,121,5,3,61126,15
28121,96,10,1,409162,5
28123,149,5,1,98799,7
28127,177,9,3,142124,11
28129,147,7,3,105605,13
28131,96,3,3,167477,19
28133,117,7,3,115935,10
28135,124,6,3,118140,20
28137,99,8,3,99680,7
28139,82,2,3,59461,5
28147,122,4,3,52327,7
28149,323,35,3,416318,16
28151,134,9,3,170634,7
28153,114,6,3,59306,5
28157,394,25,3,204090,46
28159,55,2,3,36825,4
28161,67,4,3,70446,10
29013,87,7,1,47808,6
29015,46,2,3,11426,1
29017,1,0,1,461,0
29019,26,1,1,81587,1
29021,70,3,1,96626,2
29023,64,2,2,82378,4
29027,21,0,3,7378,0
29029,56,2,3,29315,1
29031,61,1,1,132726,3
29035,60,0,1,13765,4
29037,68,5,1,390719,7
29039,56,1,2,59266,8
29041,62,2,1,23940,7
29043,35,4,1,74597,2
29047,81,6,1,412051,3
29053,66,2,3,20532,2
29055,66,4,2,26686,2
29057,12,0,3,519,0
29059,4,1,1,1234,0
29063,2,0,1,910,0
29067,118,10,1,64856,10
29069,34,2,1,58720,4
29071,56,3,3,103274,2
29073,74,1,3,17813,2
29083,40,1,3,19015,2
29085,36,0,2,7948,2
29089,58,2,3,17868,4
29093,105,5,3,25694,5
29095,90,6,2,2433372,6
29099,84,8,1,270207,2
29101,59,6,1,237719,9
29103,29,0,1,4531,2
29105,88,2,2,66280,4
29107,40,1,3,22158,1
29113,98,4,3,78874,3
29115,19,0,3,8538,1
29121,32,0,2,7264,1
29119,20,1,1,2464,0
29131,60,4,2,75164,6
29133,47,2,3,28665,4
29137,63,0,1,11097,2
29147,52,0,2,20618,2
29151,57,1,3,15164,2
29153,101,3,2,26346,5
29155,51,1,1,31644,4
29159,21,0,3,4747,0
